window_id,Start,Stop
box0,2020-05-04 09:50:53.422,2020-05-04 09:50:55.189
box1,2020-05-04 09:51:40.317,2020-05-04 09:51:42.091
box2,2020-05-04 10:03:20.725,2020-05-04 10:03:22.497
box3,2020-05-04 10:06:33.731,2020-05-04 10:06:35.575
box4,2020-05-04 10:08:21.239,2020-05-04 10:08:23.002
box5,2020-05-04 10:20:00.508,2020-05-04 10:20:02.277
box6,2020-05-04 10:36:02.154,2020-05-04 10:36:03.901
box7,2020-05-04 10:45:24.316,2020-05-04 10:45:26.065
box8,2020-05-04 10:46:43.497,2020-05-04 10:46:45.250
box9,2020-05-04 10:59:22.979,2020-05-04 10:59:24.690
box10,2020-05-04 11:26:11.822,2020-05-04 11:26:13.592
box11,2020-05-04 12:44:20.548,2020-05-04 12:44:22.300
box12,2020-05-04 12:44:45.126,2020-05-04 12:44:46.894
box13,2020-05-04 12:45:53.505,2020-05-04 12:45:55.306
box14,2020-05-04 12:46:48.198,2020-05-04 12:46:49.975
box15,2020-05-04 12:48:50.797,2020-05-04 12:48:52.548
box16,2020-05-04 12:49:49.097,2020-05-04 12:49:50.846
box17,2020-05-04 12:50:21.277,2020-05-04 12:50:23.101
box18,2020-05-04 14:08:57.762,2020-05-04 14:08:59.640
box19,2020-05-04 14:11:14.306,2020-05-04 14:11:16.074
box20,2020-05-04 14:12:05.802,2020-05-04 14:12:07.565
box21,2020-05-04 15:13:07.158,2020-05-04 15:13:08.936
box22,2020-05-04 15:13:37.337,2020-05-04 15:13:39.106
box23,2020-05-04 15:14:07.397,2020-05-04 15:14:09.176
box24,2020-05-04 15:14:27.636,2020-05-04 15:14:29.336
box25,2020-05-04 15:17:46.360,2020-05-04 15:17:48.170
box26,2020-05-04 15:18:35.270,2020-05-04 15:18:37.057
box27,2020-05-05 07:41:59.955,2020-05-05 07:42:01.727
box28,2020-05-05 07:42:39.093,2020-05-05 07:42:40.867
box29,2020-05-05 07:56:45.896,2020-05-05 07:56:47.941
box30,2020-05-05 07:57:57.303,2020-05-05 07:57:59.092
box31,2020-05-05 09:34:25.615,2020-05-05 09:34:27.291
box32,2020-05-05 09:34:43.267,2020-05-05 09:34:45.030
box33,2020-05-05 10:04:42.818,2020-05-05 10:04:44.574
box34,2020-05-05 10:05:37.436,2020-05-05 10:05:39.203
box35,2020-05-05 10:05:49.320,2020-05-05 10:05:51.079
box36,2020-05-05 10:06:45.865,2020-05-05 10:06:47.561
box37,2020-05-05 10:07:06.751,2020-05-05 10:07:08.569
box38,2020-05-05 10:51:11.184,2020-05-05 10:51:12.967
box39,2020-05-05 10:58:51.117,2020-05-05 10:58:52.821
box40,2020-05-05 10:59:26.259,2020-05-05 10:59:28.032
box41,2020-05-05 11:04:02.656,2020-05-05 11:04:04.360
box42,2020-05-05 11:04:54.301,2020-05-05 11:04:56.072
box43,2020-05-05 11:05:46.389,2020-05-05 11:05:48.154
box44,2020-05-05 11:06:18.528,2020-05-05 11:06:20.291
box45,2020-05-05 11:51:19.398,2020-05-05 11:51:21.180
box46,2020-05-05 13:33:06.500,2020-05-05 13:33:08.263
box47,2020-05-05 13:33:53.417,2020-05-05 13:33:55.179
box48,2020-05-05 13:34:05.168,2020-05-05 13:34:06.938
box49,2020-05-05 13:35:18.649,2020-05-05 13:35:20.365
box50,2020-05-05 13:36:52.584,2020-05-05 13:36:54.621
box51,2020-05-05 13:37:38.960,2020-05-05 13:37:40.717
box52,2020-05-05 14:21:46.890,2020-05-05 14:21:48.669
box53,2020-05-06 07:44:48.200,2020-05-06 07:44:49.968
box54,2020-05-06 07:45:31.523,2020-05-06 07:45:33.274
box55,2020-05-06 07:45:52.947,2020-05-06 07:45:54.766
box56,2020-05-06 07:46:26.931,2020-05-06 07:46:28.741
box57,2020-05-06 07:46:38.271,2020-05-06 07:46:40.041
box58,2020-05-06 07:46:49.827,2020-05-06 07:46:51.529
box59,2020-05-06 07:49:46.123,2020-05-06 07:49:47.852
box60,2020-05-06 07:52:24.994,2020-05-06 07:52:26.773
box61,2020-05-06 07:52:37.266,2020-05-06 07:52:39.014
box62,2020-05-06 07:53:01.160,2020-05-06 07:53:02.933
box63,2020-05-06 07:53:13.007,2020-05-06 07:53:15.043
box64,2020-05-06 07:53:35.779,2020-05-06 07:53:37.514
box65,2020-05-06 07:53:47.528,2020-05-06 07:53:49.288
box66,2020-05-06 07:54:10.477,2020-05-06 07:54:12.275
box67,2020-05-06 07:54:15.846,2020-05-06 07:54:17.655
box68,2020-05-06 08:18:13.491,2020-05-06 08:18:15.263
